country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,oilreserves_full,oilreserves,oilreserves_public,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
BRA,1991,0.0,7.0,0.009,0.0113140205,0.0054079997,0.0060540005,0.00046799998,0.0,0.0,0.00015842915,0.00015842542,-0.0055420846,-0.028208852,5.695474,5.695474,3.8291705,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0
BRB,1991,0.0,7.0,,-0.095670156,0.0014229999,0.006934,0.000926,0.01,0.0,,,-0.0055420846,,3083.0,,0.003083,1.0,1.0,,,,0.0,0.0,1.0,0.0
BRN,1991,0.0,7.0,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,1.7713745,1.7713745,1.25,,1.0,,,,0.0,0.0,1.0,0.0
BTN,1991,0.0,7.0,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0
BWA,1991,0.0,7.0,0.0085,-0.095670156,0.004102,0.0059859995,0.00411,0.01,0.0,0.00029983371,0.00029983697,-0.00549379,-0.030490797,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CAF,1991,0.0,7.0,0.002,0.014816046,0.0082950005,0.007916,0.008334,0.0,0.0,0.00028669834,0.0002867002,-0.00549379,-0.028466556,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0
CAN,1991,0.0,7.0,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116981566,0.0001169797,-0.0077426583,-0.05371903,11.235632,11.235632,8.320765,,,,1.0,,0.0,0.0,1.0,0.0
CHE,1991,0.0,7.0,0.01,0.04203199,0.0053140004,0.0060829995,0.0054409998,0.0,0.0,0.00012202561,0.00012202561,-0.0021132082,-0.038744472,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0
CHL,1991,0.0,7.0,0.009,0.040535226,0.0018610001,0.003841,0.0018709999,0.0,0.0,0.00016992539,0.00016992353,-0.0055420846,0.041572288,0.06049675,0.06049675,0.3,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0
CHN,1991,0.0,7.0,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013644993,0.00013644621,-0.006785229,0.00876322,32.183666,32.183666,19.746025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
