Variable,Coefficient,Std Error,P-value
oilreserves,4.078149231924245e-05,0.0001296364966143726,0.7530779702370549
oilreserves,0.00014113007454931794,0.0002517453878957293,0.5750658905254729
oilreserves,-0.004065270298835642,0.0032470676334826884,0.2105764152373547
