Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,-6.158837150004415,1.3451832881935064,4.6846285817953845e-06
s1,World GVC,-6.158837150004415,1.3451832881935064,4.6846285817953845e-06
s2,transport,-0.4918953946919475,0.5909756832778056,0.40521448582989505
s2,World GVC,-0.4918953946919475,0.5909756832778056,0.40521448582989505
s6,transport,-6.6386882572202515,1.2461753396296287,9.971058093397082e-08
s6,World GVC,-6.6386882572202515,1.2461753396296287,9.971058093397082e-08
s10,transport,-6.087642357228605,1.4585997445316254,2.9979647249988597e-05
s10,World GVC,-6.087642357228605,1.4585997445316254,2.9979647249988597e-05
s1,transport,-62.025340209930164,13.416322000064046,3.780008882560702e-06
s1,World GVC,-62.025340209930164,13.416322000064046,3.780008882560702e-06
s2,transport,-4.795436996268101,3.7612947277149527,0.20232936017201486
s2,World GVC,-4.795436996268101,3.7612947277149527,0.20232936017201486
s6,transport,-62.48078739088026,15.648727203058796,6.532318153766817e-05
s6,World GVC,-62.48078739088026,15.648727203058796,6.532318153766817e-05
s10,transport,-18.16062388321578,3.3873298296084586,8.260727892728156e-08
s10,World GVC,-18.16062388321578,3.3873298296084586,8.260727892728156e-08
s1,transport,-62.025340209930164,13.416322000064046,3.780008882560702e-06
s1,World GVC,-62.025340209930164,13.416322000064046,3.780008882560702e-06
s2,transport,-4.795436996268101,3.7612947277149527,0.20232936017201486
s2,World GVC,-4.795436996268101,3.7612947277149527,0.20232936017201486
s6,transport,-62.48078739088026,15.648727203058796,6.532318153766817e-05
s6,World GVC,-62.48078739088026,15.648727203058796,6.532318153766817e-05
s10,transport,-18.16062388321578,3.3873298296084586,8.260727892728156e-08
s10,World GVC,-18.16062388321578,3.3873298296084586,8.260727892728156e-08
