Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,17.540229015524606,19.431748027790494,0.3667072642066076
s1,World GVC,-0.9786269859914077,2.1273911933809972,0.6455070982466984
s2,transport,-28.16033854962367,65.26316128493627,0.6661128229899274
s2,World GVC,0.7121866904531109,1.2823173756231212,0.5786276946936473
s6,transport,14.598854256073523,14.955898488507929,0.32900160140880663
s6,World GVC,1.5856991125089155,1.6616852538245512,0.3399461595390507
s10,transport,6.66529062804522,5.837687681585796,0.25355006531668467
s10,World GVC,0.5506197348506685,1.7054920551677697,0.746808122802614
s1,transport,22.40663508851976,30.85105971891139,0.4676646057888867
s1,World GVC,-0.5694177327605878,2.0230679990768303,0.778355703244453
s2,transport,-10.67574340913182,14.75389323119644,0.4693185727608853
s2,World GVC,0.3045923777838715,1.2673723284638334,0.810071512428785
s6,transport,78.29632693927095,198.11498497890113,0.6926905067273319
s6,World GVC,3.144525027375378,2.3245646600845795,0.17613961023199076
s10,transport,15.07890478846608,16.590766071437898,0.3634169937484797
s10,World GVC,1.3358994812601208,2.627551286784163,0.6111588681860938
s1,transport,17.41627853316231,19.253038596752855,0.3656778908653091
s1,World GVC,-1.267417549650102,2.103602673790747,0.5468423315938793
s2,transport,-27.804245204887692,63.766550781636276,0.6628136429128084
s2,World GVC,1.3394806128786576,1.31613521639622,0.3088025591606922
s6,transport,14.586746894939704,14.963581408792296,0.329651263172293
s6,World GVC,2.0174700296839507,1.679700519933263,0.22971663059606384
s10,transport,6.653554793644797,5.835447206385358,0.2542045657486103
s10,World GVC,1.5567825712927015,1.81684407968979,0.39152178887985434
