,Variable,Coefficient,Std Error,P-value
0,oilreserves,4.0760303804426856e-05,0.0001294831742988,0.7529193727872192
1,oilreserves,0.0001405927279369,0.0002523868973366,0.5774916253446112
2,oilreserves,4.0760303804426856e-05,0.0001294831742988,0.7529193727872192
3,oilreserves,0.0001405927279369,0.0002523868973366,0.5774916253446112
4,oilreserves,4.0760303804426856e-05,0.0001294831742988,0.7529193727872192
5,oilreserves,0.0001405927279369,0.0002523868973366,0.5774916253446112
