country,t,onset2COWCS,milexp_pergdpSIPRI,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
AUS,1991,0.0,2.1,7.0,0.01,0.007419373,0.00092900003,0.008211,0.003349,0.01,0.0,0.00014404207,0.00014403928,-0.00530684,-0.031692594,0.0014655176761265,-0.0004520672962694,0.0011126961876398,0.0004182321410768,-0.0034251989403892,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
AUT,1991,0.0,1.2,7.0,0.01,0.040271357,0.001068,0.0041460004,0.001522,0.0,0.0,0.00012286007,0.00012286007,-0.0021132082,-0.0058295205,-0.0001217687753069,-0.03735846696332,-0.0004749059407153,0.0014416720872667,-0.0005180535458176,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
AZE,1991,1.0,,7.0,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.00021865219,0.00021865591,-0.006785229,-0.07156679,0.0012246850342382,0.0130389059671919,0.0005938443318526,0.0003205063755911,0.0037625269060801,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BDI,1991,1.0,3.8,7.0,0.0015,0.04310799,0.0029510001,0.005158,0.0029769999,0.0,0.0,0.00023617595,0.00023617223,-0.00549379,0.018985786,0.0038798141872588,-0.0010462517886868,-4.323885113561958e-05,-0.0001121649888779,0.0004661846987096,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BEL,1991,0.0,2.3,7.0,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.5226345e-05,3.522262e-05,-0.0021132082,-0.005028772,0.00410235687865,0.0034389751443478,0.0006161355095719,-0.0007023623720013,-0.0001770378476257,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BEN,1991,0.0,,7.0,0.008,-0.095670156,0.007871999,0.0055440003,0.007905,0.0,0.0,0.00031302124,0.00031302124,-0.00549379,0.009892043,0.0005908157327884,-0.0015165713508553,4.426032520741998e-05,-7.317575778371336e-05,0.0002026930516458,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BFA,1991,0.0,1.8,7.0,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.00033079088,0.00033079833,-0.00549379,0.049520146,-0.0006958301597671,0.0007029441694791,0.0001024386856529,1.6436593650256764e-05,-0.0003113906677002,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BGD,1991,0.0,1.0,7.0,0.008,-0.095670156,0.00045400002,0.00209,0.000925,0.01,0.0,0.00022824854,0.00022824854,-0.006785229,-0.0037731938,0.000140376533483,0.0014283715413204,0.0002707928659633,1.1998179867852969e-05,0.0005304080841272,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BGR,1991,0.0,2.8,7.0,0.009,0.03010621,0.004021,0.005965,0.0030309998,0.0,0.0,-0.00013773888,-0.00013773143,-0.0021132082,-0.09436564,0.0039514203255347,0.0107841616099823,0.0079791198253722,0.0033270386041364,0.0151689386014876,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BHR,1991,0.0,5.1,7.0,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.00029061362,0.0002906099,-0.006785229,-0.006351847,0.000533643327172,0.0068864188527722,0.0015856346811806,0.0001677892463065,-0.000820601205146,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BHS,1991,0.0,0.8,7.0,,-0.095670156,0.004228,0.006815,0.0018549999,0.01,0.0,,,-0.0055420846,,0.0019316891003041,0.0022895084479041,0.0004349051363244,-7.499357722511642e-05,-0.0002192718586367,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BIH,1991,1.0,,7.0,,0.041026432,0.0063,0.0068510002,0.0067510004,,0.0,,,-0.0021132082,,0.001516266962949,0.0005381923680999,0.0013845334160524,5.241904037181781e-05,0.0015248398367673,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BLR,1991,0.0,,7.0,0.0085,,0.003222,0.006116,0.004666,0.0,0.0,3.9190054e-06,3.9190054e-06,-0.0021132082,-0.049160637,-0.0117573531324686,-0.0220650280542192,-0.0229806638105534,-0.0364807949096078,-0.0104998934227942,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BLZ,1991,0.0,1.1,7.0,,0.0130833285,0.007015,0.0058130003,0.006303,0.01,0.0,,,-0.0055420846,,-0.0016349160682225,0.0004692079896715,0.0029714661468599,-0.0004604083128862,-0.0031503522597495,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BMU,1991,0.0,,7.0,,,,0.007112,,0.01,0.0,,,-0.0077426583,,3.216461317101082e-05,0.0069633386876777,0.0004346333232864,4.331756240944016e-05,-0.0006921476685633,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BOL,1991,0.0,2.2,7.0,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.00023688376,0.00023688376,-0.0055420846,0.019794732,-0.0009515280770799,-0.0019942106430067,-0.0011242859468201,-3.847580290141815e-05,5.906510947761498e-06,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BRA,1991,0.0,1.4,7.0,0.009,0.0113140205,0.0054079997,0.0060540005,0.00046799998,0.0,0.0,0.00015842915,0.00015842542,-0.0055420846,-0.028208852,0.0015375519835711,-0.000420936536138,0.0023712073787501,0.0006588302484648,0.0019096658420975,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BRB,1991,0.0,0.8,7.0,,-0.095670156,0.0014229999,0.006934,0.000926,0.01,0.0,,,-0.0055420846,,0.004342888944368,0.0023427831295875,0.0013114607316008,0.0002432295146112,0.0011571942274234,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BRN,1991,0.0,6.4,7.0,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,0.0001460058017047,0.0015912104915675,0.0007044743160665,0.0002170769175484,0.0007853808328861,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BTN,1991,0.0,,7.0,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,0.0022782859157539,0.0038604451851402,0.0005308909254641,7.497912080158854e-05,0.0011956068943953,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
BWA,1991,0.0,4.4,7.0,0.0085,-0.095670156,0.004102,0.0059859995,0.00411,0.01,0.0,0.00029983371,0.00029983697,-0.00549379,-0.030490797,0.0009262290754234,-0.0015421216421494,-0.0005194351571757,-0.0001098115960151,-0.0004871124465931,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CAF,1991,0.0,1.6,7.0,0.002,0.014816046,0.0082950005,0.007916,0.008334,0.0,0.0,0.00028669834,0.0002867002,-0.00549379,-0.028466556,0.0022695149189952,0.000405615534323,0.0003052353667094,7.700666893489892e-06,0.0023050249891787,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CAN,1991,0.0,1.9,7.0,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116981566,0.0001169797,-0.0077426583,-0.05371903,8.303575871872193e-05,0.0001056171037145,7.547194250506067e-05,0.0004887794948357,0.0001155611085589,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CHE,1991,0.0,1.7,7.0,0.01,0.04203199,0.0053140004,0.0060829995,0.0054409998,0.0,0.0,0.00012202561,0.00012202561,-0.0021132082,-0.038744472,0.0011069016290535,0.0011069056025656,0.0045116111966581,0.0031797044829266,0.003508056413188,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CHL,1991,0.0,3.9,7.0,0.009,0.040535226,0.0018610001,0.003841,0.0018709999,0.0,0.0,0.00016992539,0.00016992353,-0.0055420846,0.041572288,-0.0012760541696099,-0.0002508591216956,-0.0009493958074152,0.0005896573435056,-0.0010473146998474,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CHN,1991,0.0,2.4,7.0,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013644993,0.00013644621,-0.006785229,0.00876322,-0.0024020413660091,-0.0016565707783308,-0.001919203592602,-0.0010984491668743,-0.0056036716716824,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CIV,1991,0.0,1.4,7.0,0.0015,-0.0091629075,0.008204,0.007551,0.007842001,0.0,0.0,0.00042986125,0.00042986497,-0.00549379,-0.043945737,0.0011650388596217,0.0008953828542123,0.0011659697818871,3.487369068090975e-05,0.000629737999642,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CMR,1991,0.0,1.5,7.0,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.00028681755,0.00028681755,-0.00549379,-0.07618286,0.0031050480495798,0.0014696337837903,0.0009009516352523,0.0001791804084369,0.002444366486687,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
COD,1991,0.0,,7.0,0.001,0.014350845,0.008747,0.0070209997,0.008705,0.0,0.0,0.00033216178,0.00033216178,-0.00549379,-0.10152069,-0.0022197873509804,-0.0017853990326288,-0.0006448487177264,-0.0001577198318227,-0.0025177134514621,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
COG,1991,0.0,,7.0,0.0045,-0.095670156,0.008747,0.0066420003,0.006871,0.0,0.0,0.00031023473,0.00031022914,-0.00549379,-0.018608026,-0.0031628420413718,-0.0012563558011848,-0.0006724311224964,-2.0485689135864467e-05,-0.0003658768901936,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
COL,1991,,1.1,7.0,0.0095,0.03613617,0.006014,0.001478,0.00019300001,0.0,0.0,0.00020007044,0.00020006672,-0.0055420846,-0.022663604,0.0004467776816678,0.0003495152095653,0.0023034867382507,0.0006530962779448,0.0006801930865079,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CPV,1991,0.0,,7.0,,0.028154088,0.004174,0.000766,,0.0,0.0,0.00017977506,0.00017977506,-0.00549379,-0.071420506,-0.0034497010676347,0.0007751518980613,-0.0001090588584219,-0.0005007546074044,-0.002271987433867,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CRI,1991,0.0,0.0,7.0,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.00024104118,0.00024104118,-0.0055420846,-0.023667842,0.000971979149077,0.0029133992207098,0.0031018261825007,0.0006706057006145,0.0034028755589574,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CUB,1991,0.0,,7.0,0.0015,,0.005908,0.005059,,0.0,0.0,9.278953e-05,9.2785805e-05,-0.0055420846,-0.13902733,-0.000327021864759,-0.000534136464297,-6.386864643725086e-05,2.115605106813536e-05,-0.0009423507805451,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CYM,1991,0.0,,7.0,,,,,,,0.0,,,-0.0055420846,,-0.0025440737694593,-0.002492096511089,-0.0007966538245823,0.0039977222778941,-0.0002703827177178,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CYP,1991,0.0,4.9,7.0,0.01,0.021972246,0.00093900005,0.003962,0.003962,0.01,0.0,,,-0.006785229,,0.0005717270513385,-0.0027476660995313,-0.000211340565589,-0.0002127516824501,-0.0010951525988933,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
CZE,1991,,,7.0,,,0.003222,0.006591,0.003233,,,-4.224479e-06,-4.224479e-06,-0.0021132082,-0.13737428,0.0090904471815668,0.007981545150907,0.0128578297158283,0.0116334593463715,0.0092620029300225,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
DEU,1991,0.0,2.2,7.0,0.01,0.0069314716,0.001682,0.0065710004,0.0016419999,0.0,0.0,7.5779855e-05,7.578358e-05,-0.0021132082,0.020464532,0.0008065511858673,0.002488417114217,0.0009208076460882,0.0011576193212468,0.0003744989767842,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
DJI,1991,0.0,5.9,7.0,0.001,0.013609766,0.007962,0.000435,0.0065579996,0.0,0.0,0.00024657324,0.00024657324,-0.00549379,-0.017349932,0.0049511672469605,0.0153638658072806,0.0007674129699757,0.0003549037186518,-0.0012314454487378,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
DNK,1991,0.0,2.0,7.0,0.01,-0.095670156,0.000819,0.002333,0.0010490001,0.0,0.0,2.6024878e-05,2.6024878e-05,-0.0021132082,-0.011074436,0.0020461713796482,0.0038100553383323,0.0011526620808073,0.001428580284516,-0.0003540085599086,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
DOM,1991,0.0,0.4,7.0,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.0001957342,0.00019573048,-0.0055420846,-0.038341284,-0.000499693146963,0.0010119970993405,0.0018683793031737,0.0004228262549508,0.0009907387769493,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
DZA,1991,0.0,1.2,7.0,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.00023557246,0.00023557246,-0.00549379,-0.053634264,0.0085968648029908,0.0039512615367406,0.0143530793345013,0.0027763936728631,0.0339812836129544,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ECU,1991,0.0,1.8,7.0,0.0095,0.03637586,0.0065499996,0.001417,0.001308,0.0,1.0,0.000106967986,0.000106967986,-0.0055420846,0.021536643,0.004823390242619,0.001197311236802,-7.822816658947145e-05,-0.0001622366687808,-0.0010718136686027,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
EGY,1991,0.0,4.6,7.0,0.002,0.0,0.0018359999,0.001979,0.000237,0.0,0.0,0.00025188178,0.00025187805,-0.00549379,-0.08111934,-0.0001552224599497,0.0002344274847166,0.0006500116468416,5.69179574489093e-05,0.0006958799370791,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ERI,1991,0.0,,7.0,,,0.0065240003,0.004253,0.00653,,0.0,,,-0.00549379,,-0.0024080154960225,-0.0062148665016855,-0.0001845637903719,-0.0004635397992334,-0.0024902053100536,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ESP,1991,0.0,1.7,7.0,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.8081238e-05,2.8077513e-05,-0.0021132082,-0.0042915065,0.0007515861519576,0.0002166213216585,-0.0009215798562585,-0.0003819847686834,-0.0004775268467806,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
EST,1991,0.0,,7.0,0.008,,0.0050620004,0.004985,0.004944,0.0,0.0,-6.248057e-05,-6.248057e-05,-0.0021132082,-0.13138756,0.0009247814748069,0.0062115943767604,0.0014048214161089,0.016065538662537,0.0067922251613576,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ETH,1991,,5.3,7.0,0.005,0.042541932,0.007235,0.006249,0.008072999,0.0,0.0,,,-0.00549379,,-0.0046320582245815,-0.0019146543708026,-0.000274505332659,-9.371069904860562e-05,-0.0009398169607654,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
FIN,1991,0.0,1.8,7.0,0.01,-0.017719569,0.001315,0.0025310002,0.001412,0.0,0.0,5.4709613e-05,5.4709613e-05,-0.0021132082,-0.09743617,0.0029542815981279,-0.0004148399298759,0.0001890142628873,0.0075488663350796,3.869350126894239e-05,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
FJI,1991,0.0,2.3,7.0,0.0075,-0.0091629075,0.005479,0.005682,0.005479,0.01,0.0,,,-0.00530684,,-0.0010431556976922,-0.001783820379376,-0.0009205581241313,6.215330714015132e-05,-0.0004832258356451,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GAB,1991,0.0,,7.0,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.00023536384,0.00023536384,-0.00549379,0.02871061,0.0010323283942357,0.0007448004707479,0.0029170233825129,0.0001170039645863,0.0023325739904052,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GBR,1991,0.0,4.1,7.0,0.01,-0.0022314354,0.001211,0.0069440003,0.000532,0.01,0.0,2.9928982e-05,2.9928982e-05,-0.0021132082,-0.03571171,0.0009779078664196,0.0013896662683556,0.00221237231826,0.0013841004570382,0.0014710890433274,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GEO,1991,1.0,,7.0,0.007,0.041075896,0.004923,0.0065429998,0.004749,0.0,0.0,-1.116097e-05,-1.116097e-05,-0.006785229,-0.21137737,-0.0004553265815485,-0.0020309690940113,-0.0003766422581644,-0.0002113955577914,-0.0009558390157143,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GHA,1991,0.0,0.6,7.0,0.003,-0.095670156,0.0067330003,0.007987,0.006731,0.01,0.0,0.0002828464,0.00028284267,-0.00549379,0.015845148,-0.0007843634525609,-0.0005139091895705,-0.0005591370492304,6.550515253027009e-06,-0.0003642386058453,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GIN,1991,0.0,2.4,7.0,0.0025,0.011631508,0.007389,0.002649,0.007725,0.0,0.0,0.0006853342,0.00068533793,-0.00549379,-0.05674032,-0.0040009596422247,0.0017009398406957,-2.2598856271669e-05,-8.312147187792022e-06,-0.0030282713617802,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GMB,1991,0.0,1.2,7.0,0.009,-0.095670156,0.007864,0.00097000005,0.008076,0.01,0.0,0.00038497895,0.00038498268,-0.00549379,-0.027900148,0.00032567256092,0.0007309829200192,0.0001304907712468,5.553623531595001e-06,0.000478923620081,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GRC,1991,0.0,4.2,7.0,0.01,0.0308191,0.001576,0.00153,0.00029999999,0.0,0.0,0.000119015574,0.000119015574,-0.0021132082,-0.009704318,-0.0006967276884736,-4.1873979092957314e-05,-0.0002005155924301,-7.948289861344632e-05,-0.000399850588376,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GRL,1991,0.0,,7.0,,,,0.004592,0.002188,0.0,0.0,,,-0.0077426583,,-0.016229457378325,-0.0008031498718091,-0.0026668582838449,0.0020830210689302,-0.0076357592499397,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GTM,1991,0.0,1.1,7.0,0.0065,0.037400477,0.005122,0.003753,0.004586,0.0,0.0,0.00027175993,0.00027175993,-0.0055420846,-0.006621482,-0.0021271693403303,-0.0016102117347147,0.0002643287383358,-8.147723155980382e-05,-0.0006346842378143,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
GUY,1991,0.0,0.6,7.0,0.0015,0.008329091,0.006195,0.007875999,0.000688,0.01,0.0,,,-0.0055420846,,0.0007258852870779,0.0009093623178891,0.0003333143331746,1.1818848499980571e-05,0.0001649048167303,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
HKG,1991,0.0,,7.0,,-0.095670156,0.00062,0.004191,0.002128,0.01,0.0,0.000111959875,0.000111959875,-0.006785229,-0.0030013323,0.0022016588773127,0.0019115338602648,0.00087286414429,-0.0008573844210269,-2.198136467400358e-05,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
HND,1991,0.0,,7.0,0.008,0.03966511,0.001867,0.002357,0.000553,0.0,0.0,0.00028561056,0.00028561056,-0.0055420846,-0.008027147,-0.0024922934857905,0.000879101368386,0.0004871242700851,2.296898190165845e-05,-0.0001037267109784,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
HRV,1991,0.0,,7.0,0.0035,,0.00369,0.004447,0.00076300005,,0.0,,,-0.0021132082,,0.0010571925445217,0.0010434641085601,0.0040561414193899,0.0006829244240558,0.0034675952504171,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
HTI,1991,0.0,,7.0,0.0015,0.027343675,0.00095,0.004704,,0.0,0.0,0.00018120557,0.0001812093,-0.0055420846,-0.011350479,0.0004978384568554,0.0071070362511839,0.0023401053497265,0.0001635933201315,0.0009655082102549,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
HUN,1991,0.0,2.4,7.0,0.01,-0.095670156,0.001522,0.005244,0.000297,0.0,0.0,-6.891787e-06,-6.8880618e-06,-0.0021132082,-0.14381711,0.0019928641448205,0.0053443552939964,0.0036510835937919,0.0042549524582862,0.0024792112855602,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
IDN,1991,0.0,1.7,7.0,0.0015,0.023513753,0.007351,0.00234,0.0076800003,0.0,1.0,0.00016450882,0.0001645051,-0.006785229,0.008659625,0.0027125733353415,0.0005058695512761,-0.008170849705873,0.0011140096237714,0.0014040339835314,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
IND,1991,,3.0,7.0,0.009,0.025572272,0.0041819997,0.0032600001,0.008069,0.01,0.0,0.00017397106,0.00017397478,-0.006785229,-0.023188943,0.0014823650147005,0.0004070220999825,0.0021671638867913,0.000349547932598,0.0007729197241789,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
IRL,1991,0.0,1.4,7.0,0.01,-0.095670156,0.001206,0.00155,0.000312,0.01,0.0,6.41346e-05,6.413087e-05,-0.0021132082,-0.017086692,0.0028056335636712,6.673888672585615e-05,0.0011874651173608,0.0061118563282786,-2.140870227863162e-05,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
IRN,1991,0.0,1.7,7.0,0.002,0.0364545,0.0066839997,0.0011519999,0.0074620005,0.0,1.0,0.0003669113,0.00036691502,-0.006785229,0.0376606,1.4652897127629544e-05,0.000919528516515,0.0024405281461639,-0.0001313971725788,-0.0002075040429449,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
IRQ,1991,,,7.0,0.0005,0.017917594,0.003689,0.004844,0.003694,0.0,1.0,-0.00037251413,-0.00037251413,-0.006785229,-0.6220093,-0.0003525921375194,0.0044938939008961,0.0003880522597784,-3.429789862102338e-05,0.0029359577622478,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ISL,1991,0.0,0.0,7.0,,0.026173959,0.000798,0.001913,0.00082,0.0,0.0,,,-0.0021132082,,0.0001745748538815,-0.0173758368990565,-0.0004715625082739,0.0004723774157473,-0.0018064934012158,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ISR,1991,0.0,15.3,7.0,0.0095,0.005306283,0.003436,0.0034689999,0.005525,0.01,0.0,0.00037591904,0.00037591532,-0.006785229,-0.015156193,-0.0022444808136707,-0.0019912690416285,-0.0017667565801684,0.0042718431445789,-0.0027903872744427,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
