gvc_type,coef,std err,t,P>|t|,2.5 %,97.5 %,fixed_effects,stationary_controls
mix,31.5313,33.3206,0.9463,0.344,-33.7759,96.8385,True,True
mix,30.4786,32.7922,0.9294,0.3527,-33.7928,94.7501,True,False
mix,11.9636,13.9511,0.8575,0.3911,-15.3801,39.3073,False,True
mix,7.7621,13.0074,0.5967,0.5507,-17.7319,33.2561,False,False
